P_NAME,P_STATUS,P_MASS,P_RADIUS,P_YEAR,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ANGULAR_DISTANCE,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_AGE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
HAT-P-16 b,3.0,1332.6528,14.44969,2010,2.77596,0.0413,176,Transit,HAT-P-16,9.573181,42.463078,10812,235.0,0.17,1.22,1.24,2.0,6158.0,4.34,",",0.041326762,0.0398132,0.0427868,0.041306697,1162.1769,1487.1589,Jovian,F,0.6382121,00 38 17.5636,+42 27 47.0808,3.8002236,4.1641694,0.42905844,0,0,Hot,0,0.063405877,Andromeda,And,Andromeda
HAT-P-17 b,3.0,184.34024,11.7705,2010,10.33852,,,Transit,HAT-P-17,324.5364,30.488716,10.54,92.63,0.0,0.99,0.87,,5246.0,4.53,",",0.09821502,0.060155254,0.12493783,0.094024159,64.017148,703.3723,Jovian,K,21.635761,21 38 08.7391,+30 29 19.3776,1.9350131,0.81063856,0.45979353,0,0,Hot,0,0.091504247,Cygnus,Cyg,Swan
HAT-P-17 c,3.0,1080.6152,,2010,5584.0,5.6,60.5,Radial Velocity,HAT-P-17,324.5364,30.488716,10.54,92.63,0.0,0.99,0.87,,5246.0,4.53,",",6.02588,3416,7784,5.712201,0.017786558,90.240865,Jovian,K,21.635761,21 38 08.7391,+30 29 19.3776,1.9350131,0.81063856,0.45979353,0,0,Cold,0,0.087093496,Cygnus,Cyg,Swan
HAT-P-18 b,3.0,62.612117,11.15395,2010,5.508023,0.0559,337,Transit,HAT-P-18,256.34647,33.012512,12759,166.0,0.1,0.77,0.75,12.4,4803.0,4.57,",",0.056097215,0.0512044,0.0605956,0.05594942,86.13418,775.1085,Jovian,K,17.089766,17 05 23.1567,+33 00 45.0432,1.3982812,0.34826955,0.49883704,0,0,Hot,0,0.09099285,Hercules,Her,Hercules
HAT-P-19 b,3.0,92.805777,12.68972,2010,4.008778,0.0466,217,Transit,HAT-P-19,9.516742,34.711575,12901,215.0,0.23,0.84,0.82,8.8,4990.0,4.54,",",0.046704594,0.0434778,0.0497222,0.046626189,172.3946,922.37938,Jovian,K,0.6344495,00 38 04.0182,+34 42 41.6700,1.6501485,0.49435139,0.4849888,0,0,Hot,0,0.076361023,Andromeda,And,Andromeda
HAT-P-2 b,3.0,2739.6774,,2007,5.6335158,0.06814,531,Transit,HAT-P-2,245.15149,41.048084,8.72,128.25,0.18,1.33,1.39,1.44,6380.0,,"HD 147506, HIP 80076",0.077253583,0.032897992,0.10338201,0.070648162,721.75808,1247.3684,Jovian,F,16.343433,16 20 36.3604,+41 02 53.1024,4.572611,6.2757241,0.41805729,0,0,Hot,0,0.072495013,Hercules,Her,Hercules
HAT-P-20 b,3.0,2302.9817,9.71907,2010,2.875317,0.0361,516,Transit,HAT-P-20,111.91647,24.33663,11339,70.0,0.35,0.76,0.69,6.7,4595.0,4.63,",",0.036104061,0.0355585,0.0366415,0.036101017,145.93631,885.45688,Jovian,K,7.4610983,07 27 39.9540,+24 20 11.8680,1.1774113,0.24256637,0.44823782,0,0,Hot,0,0.095951003,Gemini,Gem,Twins
HAT-P-21 b,3.0,1547.8224,12.4431,2010,4.12448,,,Transit,HAT-P-21,171.27496,41.027954,11685,279.48,0.01,1.24,1.21,,5588.0,4.33,",",0.055492469,0.041628137,0.066496894,0.054426373,449.67067,1161.3456,Jovian,G,11.418331,11 25 05.9913,+41 01 40.6344,3.0535586,1.5725161,0.49563088,0,0,Hot,0,0.073790623,Ursa Major,UMa,Big Bear
HAT-P-22 b,3.0,785.03517,12.8915,2010,3.21222,,,Transit,HAT-P-22,155.68172,50.128345,9732,81.96,0.24,1.13,1.11,,5302.0,4.36,"HD 233731,",0.04437715,0.04348091,0.045255641,0.044370496,443.23625,1168.8833,Jovian,G,10.378782,10 22 43.6145,+50 07 42.0420,2.5217993,0.93273358,0.48051905,0,0,Hot,0,0.071614753,Ursa Major,UMa,Big Bear
HAT-P-23 b,3.0,425.88952,12.2189,2010,1.21288,,,Transit,HAT-P-23,306.12385,16.762152,12432,368.61,0.15,0.58,0.96,,5905.0,4.33,",",0.018670258,0.016516604,0.020599361,0.018586164,2932.8693,1870.5861,Jovian,G,20.408258,20 24 29.7288,+16 45 43.7472,2.705323,2.1043433,0.3847339,0,0,Hot,0,0.072926318,Delphinus,Del,Dolphin
HAT-P-24 b,3.0,238.37100,14573,2010,3.35524,,,Transit,HAT-P-24,108.82506,14.262599,11818,420.26,-0.16,1.37,1.38,,6373.0,4.27,",",0.048823419,0.045294807,0.05211338,0.048733973,1189.4829,1494.8053,Jovian,F,7.2550042,07 15 18.0153,+14 15 45.3564,4.5297582,6.2622537,0.51237899,0,0,Hot,0,0.062908338,Gemini,Gem,Twins
HAT-P-25 b,3.0,180.84413,12.72335,2010,3.6528151,0.0466,154,Transit,HAT-P-25,48.435419,25.197405,13.19,302.95,294,1.01,0.92,,5519.0,4.52,",",0.046612326,0.0455282,0.0476718,0.046603082,324.07755,1080.8466,Jovian,G,3.2290281,03 13 44.5012,+25 11 50.6580,2.2647314,1.3044062,0.46286917,0,0,Hot,0,0.073312811,Aries,Ari,Ram
HAT-P-26 b,3.0,22.247960,7.0623,2010,4.23452,,,Transit,HAT-P-26,213.15638,4.059997,11744,142.41,-0.04,1.12,0.87,,5079.0,4.56,",",0.053567421,0.046802353,0.059566632,0.053280682,160.70138,904.62801,Jovian,K,14.210426,14 12 37.5346,+04 03 35.9892,1.8137765,0.63399598,0.47909739,0,0,Hot,0,0.1222707,Virgo,Vir,Virgin
HAT-P-27 b,3.0,197.05336,11.4342,2011,3.039577,0.04,196,Transit,HAT-P-27,222.76744,5.947368,,204.0,0.29,0.94,0.9,4.4,5300.0,4.51,",",0.04,0.04,0.04,0.040000001,357.89626,1108.1134,Jovian,G,14.851163,14 51 04.1874,+05 56 50.5248,2.0431598,0.87420881,0.44858309,0,0,Hot,0,0.079928269,Virgo,Vir,Virgin
HAT-P-28 b,3.0,198.96033,13.58652,2011,3.257215,0.0434,0.11,Transit,HAT-P-28,13.000766,34.728413,13.03,395.0,0.12,1.02,1.1,6.1,5680.0,4.36,",",0.043456442,0.0411866,0.0456134,0.043414126,599.86488,1260.2196,Jovian,G,0.86671778,00 52 00.1840,+34 43 42.2868,2.8681209,1.7256953,0.48675812,0,0,Hot,0,0.067817587,Andromeda,And,Andromeda
HAT-P-29 b,3.0,279.68864,13.1157,2011,5.72319,,,Transit,HAT-P-29,33.131142,51.778759,11.9,316.36,0.21,1.45,1.3,,6087.0,4.34,",",0.07114532,0.064481093,0.077235595,0.070930282,415.69291,1148.6196,Jovian,F,2.2087429,02 12 31.4745,+51 46 43.5324,3.8927638,3.9044218,0.52216424,0,0,Hot,0,0.070719055,Perseus,Per,Perseus
HAT-P-3 b,3.0,206.58820,10.5374,2007,2.8997,,,Transit,HAT-P-3,206.09412,48.028667,11577,135.08,0.27,1.06,0.87,,5185.0,4.56,",",0.040567684,0.040567684,0.040567684,0.040567685,297.82542,1058.3647,Jovian,K,13.739609,13 44 22.5916,+48 01 43.2012,1.8902745,0.74679996,0.47038459,0,0,Hot,0,0.086213809,Ursa Major,UMa,Big Bear
HAT-P-30 b,3.0,263.79724,16.1424,2011,2.8106,,,Transit,HAT-P-30,123.94989,5.836719,10419,215.29,0.13,1.55,1.31,,6304.0,4.36,",",0.045133614,0.043293634,0.046901437,0.045106561,1194.9181,1497.4388,Jovian,F,8.2633267,08 15 47.9761,+05 50 12.1884,4.2073806,5.7958735,0.53390218,0,0,Hot,0,0.057415705,Hydra,Hya,Water Snake
HAT-P-31 b,3.0,721.46957,12.2189,2011,5.00542,,,Transit,HAT-P-31,271.53771,26.426662,11.66,347.48,0.15,1.31,1.39,,6065.0,4.26,",",0.064603736,0.046984535,0.078307558,0.063145818,616.40832,1254.2468,Jovian,F,18.102515,18 06 09.0526,+26 25 35.9832,4.1322302,3.634488,0.50478708,0,0,Hot,0,0.074304061,Hercules,Her,Hercules
HAT-P-32 b,3.0,216.12304,22.1958,2011,2.1500082,0.03397,117,Transit,HAT-P-32,31.042848,46.687836,11289,291.51,-0.16,1.13,1.37,,6001.0,4.22,",",0.034399398,0.02856877,0.03937123,0.034078255,1914.2272,1677113,Jovian,F,2.0695233,02 04 10.2839,+46 41 16.2096,3.9872725,3.0995173,0.48051905,0,0,Hot,0,0.042685576,Andromeda,And,Andromeda
HAT-P-33 b,3.0,292.40176,20.7385,2011,3.47447,,,Transit,HAT-P-33,113.18421,33.835052,11188,400.55,0.05,1.82,1.79,,6446.0,4.15,",",0.054801493,0.054801493,0.054801493,0.054801495,1650.3313,1623.8193,Jovian,F,7.5456145,07 32 44.2123,+33 50 06.1872,6.0109308,7.8039452,0.56325915,0,0,Hot,0,0.045526776,Gemini,Gem,Twins
HAT-P-34 b,3.0,2227.9743,15.1335,2011,5.45265,,,Transit,HAT-P-34,303.19534,18.104868,10162,251.08,0.22,4.26,1.73,,6442.0,4.21,"HD 351766,",0.10777349,0.055026582,0.14149692,0.10080623,532.62244,1176.2975,Jovian,F,20.213024,20 12 46.8859,+18 06 17.5248,5.8022393,10.290642,0.7478612,0,0,Hot,0,0.06192905,Sagitta,Sge,Arrow
HAT-P-35 b,3.0,2390.0666,39.7955,2011,3.64671,,,Transit,HAT-P-35,123.25076,4.787023,12.46,514.2,0.11,23.56,3.82,,6096.0,4.21,",",0.13295281,0.12890622,0.1368798,0.13290798,1022.7899,1440.5163,Jovian,F,8.216718,08 13 00.1849,+04 47 13.2828,11.472587,10.043249,1.3225423,0,0,Hot,0,0.025205118,Hydra,Hya,Water Snake
HAT-P-36 b,3.0,587.40972,14.31517,2011,1.3273468,0.0241,0.0812,Transit,HAT-P-36,188.26626,44.915352,12262,296.93,,1.03,1.04,,5620.0,,",",0.0241,0.0241,0.0241,0.024100001,1664.4337,1627.2772,Jovian,G,12.551084,12 33 03.9036,+44 54 55.2672,2.6546915,1.5617423,0.46590446,0,0,Hot,0,0.063657576,Canes Venatici,CVn,Hunting Dogs
HAT-P-37 b,3.0,371.54094,13.20538,2011,2.797436,0.0379,0.0922,Transit,HAT-P-37,284.29606,51.269138,13.23,411.0,,0.93,0.88,,5500.0,,",",0.037963748,0.0357018,0.0400982,0.037915957,442.74946,1167.9119,Jovian,G,18.953072,18 57 11.0589,+51 16 08.8968,2.1513751,1.2282605,0.45031054,0,0,Hot,0,0.070149202,Draco,Dra,Dragon
HAT-P-38 b,3.0,84.860077,9.24825,2012,4.640382,0.0523,0.21,Transit,HAT-P-38,35.383234,32.246151,12557,249.0,,0.89,0.92,,5330.0,,",",0.052417387,0.0487959,0.0558041,0.052329393,224.25737,985.06605,Jovian,G,2.3588824,02 21 31.9766,+32 14 46.1436,2.1122744,0.90382865,0.44375963,0,0,Hot,0,0.097199814,Triangulum,Tri,Triangle
HAT-P-39 b,3.0,190.37897,17.61091,2012,3.54387,0.0509,0.0793,Transit,HAT-P-39,113.75825,17.830082,12422,642.0,,1.4,1.62,,6430.0,,",",0.0509,0.0509,0.0509,0.050900001,1551.4115,1598.9197,Jovian,F,7.5838835,07 35 01.9807,+17 49 48.2952,5.4130876,6.9565707,0.51609202,0,0,Hot,0,0.052887086,Gemini,Gem,Twins
HAT-P-4 b,3.0,213.26259,14.28154,2007,3.056536,0.04438,141,Transit,HAT-P-4,229.99135,36.229664,11118,314.0,,,,,5860.0,,",",0.04438,0.04438,0.04438,0.044380001,,,Jovian,G,15.332758,15 19 57.9278,+36 13 46.7904,,,,0,0,,0,,Bootes,Boo,Herdsman
HAT-P-40 b,3.0,152.55744,17.0392,2012,4.45724,,,Transit,HAT-P-40,335.51286,45.457378,11699,470.68,0.22,1.03,1.94,,6080.0,3.93,",",0.05351793,0.05351793,0.05351793,0.053517931,1608.8213,1613.5107,Jovian,F,22.367525,22 22 03.0908,+45 27 26.5608,5.7958479,3.4421013,0.46590446,0,0,Hot,0,0.054465893,Lacerta,Lac,Lizard
HAT-P-41 b,3.0,378.21532,22.9805,2012,2.69405,,,Transit,HAT-P-41,297.32265,4.672421,11087,351.63,0.21,2.56,2.05,,6390.0,4.14,",",0.051823488,0.051823488,0.051823488,0.051823489,2337.4725,1771.4608,Jovian,F,19.821511,19 49 17.4400,+04 40 20.7156,6.7649357,7.94184,0.63109943,0,0,Hot,0,0.04123942,Aquila,Aql,Eagle
HAT-P-42 b,3.0,331.81244,14.3488,2012,4.641878,0.0575,129,Transit,HAT-P-42,135.34439,6.09723,12168,447.0,0.27,1.18,1.53,5.2,5743.0,4.14,",",0.0575,0.0575,0.0575,0.057500001,690.06672,1305773,Jovian,G,9.0229599,09 01 22.6555,+06 05 50.0280,4.0782811,2.0186614,0.49756833,0,0,Hot,0,0.064427332,Hydra,Hya,Water Snake
HAT-P-43 b,3.0,210.40214,14.36001,2012,3.332687,0.0443,0.0817,Transit,HAT-P-43,128.92574,10.206653,13356,542.0,0.23,1.05,1.1,5.7,5645.0,4.37,",",0.0443,0.0443,0.0443,0.044300001,560.94767,1239.8681,Jovian,F,8.5950496,08 35 42.1785,+10 12 23.9508,2.8328832,1.6407649,0.48595988,0,0,Hot,0,0.064737417,Cancer,Cnc,Crab
HAT-P-44 b,3.0,111.87546,13.92282,2014,4.301219,0.0507,0.14,Transit,HAT-P-44,213.14407,47.014687,,363.0,0.33,0.94,0.95,7.5,5295.0,4.46,",",0.050749078,0.0484692,0.0529308,0.050712278,247.51675,1010.1556,Jovian,K,14.209606,14 12 34.5804,+47 00 52.8732,2.1526015,0.86673152,0.49028018,0,0,Hot,0,0.068902393,Bootes,Boo,Herdsman
HAT-P-44 c,3.0,1271.3120,,2014,872.2,1752,4.83,Radial Velocity,HAT-P-44,213.14407,47.014687,,363.0,0.33,0.94,0.95,7.5,5295.0,4.46,",",1.9657755,0.886512,2.617488,1.8102955,0.23816665,169.07138,Jovian,K,14.209606,14 12 34.5804,+47 00 52.8732,2.1526015,0.86673152,0.49028018,0,0,Cold,0,0.25420004,Bootes,Boo,Herdsman
HAT-P-45 b,3.0,283.50258,15.98546,2014,3.128992,0.0452,148,Transit,HAT-P-45,274.37324,-3.381036,,305.0,0.07,1.26,1.32,2.0,6330.0,4.3,",",0.045254263,0.0429852,0.0474148,0.04521358,1228.2774,1507.5555,Jovian,F,18.29155,18 17 29.5806,-03 22 51.7296,4.2745406,5.6562801,0.43369727,0,0,Hot,0,0.057896597,Serpens,Ser,Serpent
HAT-P-46 b,3.0,156.68921,14.39364,2014,4.463129,0.0577,195,Transit,HAT-P-46,270.4442,-2.970947,,296.0,0.3,1.28,1.4,2.5,6120.0,4.25,",",0.058136472,0.0506029,0.0647971,0.057809672,745.6055,1327.4931,Jovian,F,18.029614,18 01 46.6116,-02 58 15.4092,4.2377855,3.9639297,0.45249956,0,0,Hot,0,0.064136187,Serpens,Ser,Serpent
HAT-P-49 b,3.0,699.22161,17.8239,2014,2.69155,,,Transit,HAT-P-49,305.4414,26.692652,10326,353.89,0.07,2.22,2.06,,6820.0,4.1,"HD 340099,",0.049388842,0.049388842,0.049388842,0.049388843,3372119,1941.4251,Jovian,F,20.362761,20 21 45.9391,+26 41 33.5472,7.7436206,15.853416,0.60182301,0,0,Hot,0,0.051947458,Vulpecula,Vul,Fox
HAT-P-5 b,3.0,311.47144,13.5641,2007,2.78849,,,Transit,HAT-P-5,274.40548,36.62141,12.0,306.01,0.24,1.04,1.12,,5960.0,4.37,",",0.039273541,0.039273541,0.039273541,0.039273542,919.41084,1402.8858,Jovian,G,18.293699,18 17 37.3177,+36 37 17.0760,3.2152788,2.8098827,0.46740739,0,0,Hot,0,0.067297284,Lyra,Lyr,Lyre
HAT-P-50 b,3.0,429.06780,14.43848,2015,3.1220109,0.0453,0.0911,Transit,HAT-P-50,118.06341,12.13941,11762,497.0,-0.18,1.27,1.7,3.37,6280.0,4.07,",",0.045599546,0.0400905,0.0505095,0.045375214,1975.6936,1694306,Jovian,F,7.8708945,07 52 15.2201,+12 08 21.8760,5.4184654,5.2043849,0.47434872,0,0,Hot,0,0.063072362,Canis Minor,CMi,Little Dog
HAT-P-51 b,3.0,98.208853,14.49453,2015,4.2180278,0.05069,108,Transit,HAT-P-51,21.06519,32.810764,13.44,470.0,0.27,0.98,1.04,8.2,5449.0,4.39,",",0.051073445,0.04445513,0.05692487,0.050786348,335.03355,1086.8687,Jovian,G,1.4043461,01 24 15.6459,+32 48 38.7504,2.4956004,1.1450369,0.50458675,0,0,Hot,0,0.065484818,Pisces,Psc,Fishes
HAT-P-52 b,3.0,259.98331,11.31089,2015,2.7535953,0.03694,0.0959,Transit,HAT-P-52,42.721679,29.022396,14068,385.0,0.28,0.89,0.89,9.4,5131.0,4.48,",",0.0369808,0.03520382,0.03867618,0.036950209,360.88027,1109.9557,Jovian,K,2.8481121,02 50 53.2035,+29 01 20.6256,1.8936605,0.64210881,0.49989196,0,0,Hot,0,0.080637705,Aries,Ari,Ram
HAT-P-53 b,3.0,471.65676,14.77478,2015,1.9616241,0.03159,0.0439,Transit,HAT-P-53,21.871105,38.968147,13.73,719.0,0.0,1.09,1.21,4.67,5956.0,4.31,",",0.031873615,0.02735694,0.03582306,0.031661328,1669.2194,1622.9304,Jovian,G,1.4580737,01 27 29.0655,+38 58 05.3292,3.4689884,2.8346631,0.47597757,0,0,Hot,0,0.061887128,Andromeda,And,Andromeda
HAT-P-54 b,3.0,241.54928,10.58224,2015,3.799847,0.04117,285,Transit,HAT-P-54,99.898003,25.48254,13.6,144.25,-127,0.65,0.62,3.9,4390.0,4.67,",",0.041282723,0.03812342,0.04421658,0.041198237,75.676448,750.6511,Jovian,K,6.6598672,06 39 35.5220,+25 28 57.1440,0.96567019,0.16189857,0.38878251,0,0,Hot,0,0.096403172,Gemini,Gem,Twins
HAT-P-55 b,3.0,184.97590,13.25022,2015,3.5852467,0.04604,0.0959,Transit,HAT-P-55,264.27345,25.731186,13207,480.0,-0.03,1.01,1.01,4.2,5808.0,4.43,",",0.046484769,0.03964044,0.05243956,0.046151906,495.45448,1197.5938,Jovian,G,17.618231,17 37 05.6306,+25 43 52.2696,2.7534848,2.1430926,0.45590411,0,0,Hot,0,0.069688392,Hercules,Her,Hercules
HAT-P-56 b,3.0,734.18269,16.9271,2015,2.79083,,,Transit,HAT-P-56,100.84804,27.252293,10908,323.5,0.0,1.42,1.47,,6566.0,3.39,"HD 262389, HIP 32209",0.04359412,0.04359412,0.04359412,0.043594122,1893.5248,1680.5934,Jovian,F,6.7232029,06 43 23.5304,+27 15 08.2548,5.1218539,8.8291864,0.51853799,0,0,Hot,0,0.054693141,Gemini,Gem,Twins
HAT-P-57 b,3.0,448.13748,19.5054,2015,2.4653,,,Transit,HAT-P-57,274.74342,10.597294,10465,282.08,-0.25,2.77,1.85,,6330.0,4.25,",",0.050147504,0.050147504,0.050147504,0.050147506,1957.7097,1694.6577,Jovian,A,18.316229,18 18 58.4245,+10 35 50.2584,5.9908334,7.35474,0.64790459,0,0,Hot,0,0.04805426,Ophiuchus,Oph,Serpent Holder
HAT-P-6 b,3.0,419.53296,16.5908,2007,3.85298,,,Transit,HAT-P-6,354.77422,42.465973,10.44,277.5,-0.13,1.79,1.62,,6570.0,4.22,",",0.058388197,0.058388197,0.058388197,0.058388199,1285.0796,1525.3778,Jovian,F,23.651616,23 39 05.8177,+42 27 57.5028,5.6513714,9.6034376,0.56014716,0,0,Hot,0,0.05595888,Andromeda,And,Andromeda
HAT-P-65 b,3.0,167.49536,21.1869,2016,2.6054552,0.03951,47,Transit,HAT-P-65,315.90549,11.989404,13145,841.0,0.1,1.21,1.86,5.46,5835.0,3.98,",",0.041335678,0.02749896,0.05152104,0.039980896,2416.1311,1754.2365,Jovian,G,21.060367,21 03 37.3208,+11 59 21.8544,5.1180292,2.3841896,0.50584648,0,0,Hot,0,0.044441259,Equuleus,Equ,Little Horse
HAT-P-66 b,3.0,248.85933,17.8239,2016,2.972086,0.04363,0.0471,Transit,HAT-P-66,150.57263,53.950863,12993,927.0,35,1.25,1.88,4.66,6002.0,3.99,",",0.043806702,0.0397033,0.0475567,0.043674294,2167.6239,1735.7175,Jovian,G,10.038176,10 02 17.4336,+53 57 03.1068,5.4734093,3.2110769,0.4980342,0,0,Hot,0,0.052121025,Ursa Major,UMa,Big Bear
HAT-P-67 b,3.0,108.06152,23.37285,2017,4.8101025,0.06505,203,Transit,HAT-P-67,256.61069,44.776981,10069,320.0,-0.08,1.64,2.55,1.24,6406.0,3.85,",",0.06505,0.06505,0.06505,0.065050002,2318.5803,1767.8705,Jovian,F,17.10738,17 06 26.5681,+44 46 37.1316,8.4571132,7.0370987,0.43726334,0,0,Hot,0,0.040601024,Hercules,Her,Hercules
HAT-P-69 b,3.0,1137.8243,18.78796,2019,4.7869491,0.06555,191,Transit,HAT-P-69,130.50564,3.710566,,343.9,-69,1.65,1.93,1.27,7394.0,4.11,",",0.06555,0.06555,0.06555,0.065550002,2321.5373,1768.4339,Jovian,A,8.7003763,08 42 01.3548,+03 42 38.0376,8.5275504,38.498005,0.43989947,0,0,Hot,0,0.049644602,Hydra,Hya,Water Snake
HAT-P-7 b,3.0,584.80353,16.9271,2008,2.20474,,,Transit,HAT-P-7,292.24731,47.969513,10463,344.46,0.26,1.56,2.0,,6389.0,4.07,",",0.038440527,0.038440527,0.038440527,0.038440528,4041.1179,2031.2823,Jovian,F,19.483155,19 28 59.3581,+47 58 10.2468,6.5978717,6.7215571,0.5350479,0,0,Hot,0,0.05439675,Cygnus,Cyg,Swan
HAT-P-70 b,3.0,2154.8739,20.9627,2019,2.7443245,0.04739,144,Transit,HAT-P-70,74.552333,9.997979,,329.0,-59,1.89,1.86,0.6,8450.0,4.18,"HD 287325,",0.04739,0.04739,0.04739,0.047390001,7036.6825,2333.3877,Jovian,A,4.9701558,04 58 12.5609,+09 59 52.7244,10.733329,247.17132,0.40619756,0,0,Hot,0,0.04459505,Orion,Ori,Hunter
HAT-P-8 b,3.0,406.81984,15694,2008,3.07634,,,Transit,HAT-P-8,343.04107,35.447109,10.3,212.84,0.01,1.27,1.57,,6200.0,4.15,",",0.044819501,0.044819501,0.044819501,0.044819502,1624.5036,1617.4285,Jovian,F,22.869406,22 52 09.8604,+35 26 49.5924,4.8774309,4.5360723,0.49959609,0,0,Hot,0,0.058648175,Pegasus,Peg,Winged Horse
HAT-P-9 b,3.0,238.05317,15.61553,2008,3.9228107,0.05287,0.11,Transit,HAT-P-9,110.16853,37.140652,12297,480.0,0.12,1.28,1.34,,6350.0,4.29,",",0.053056525,0.04842892,0.05731108,0.052916741,939.10066,1408.4669,Jovian,F,7.344569,07 20 40.4483,+37 08 26.3472,4.3667703,5.8848186,0.50090394,0,0,Hot,0,0.059388566,Auriga,Aur,Charioteer
HATS-1 b,3.0,589.57095,14.59542,2012,3.446459,0.0444,146,Transit,HATS-1,175.52534,-23.354836,12053,303.0,,0.99,1.04,,5870.0,,",",0.04471968,0.039072,0.049728,0.044480302,587.88373,1251.0884,Jovian,G,11.70169,11 42 06.0828,-23 21 17.4096,2.8961272,2.3681263,0.45979353,0,0,Hot,0,0.063736251,Crater,Crt,Cup
HATS-10 b,3.0,167.17753,10.86249,2015,3.312846,0.04491,0.0905,Transit,HATS-10,294.30681,-22.204477,13113,496.0,0.15,1.1,1.1,3.3,5880.0,4.39,",",0.050546227,0.02241009,0.06740991,0.046451142,742.43185,1261.2249,Jovian,G,19.620455,19 37 13.6388,-22 12 16.1172,3.0736572,2.4952757,0.45058292,0,0,Hot,0,0.081889194,Sagittarius,Sgr,Archer
HATS-11 b,3.0,,18.03689,2016,3.619188,0.0507,0.0524,Transit,HATS-11,289.40076,-22.389927,14018,967.34,0.03,1.33,1.54,,6563.0,4.19,",",0.0507,0.0507,0.0507,0.050700001,1533.6413,1594.3213,Jovian,G,19.293385,19 17 36.1853,-22 23 23.7372,5.3608496,8.5941599,0.507343,0,0,Hot,0,0.051761042,Sagittarius,Sgr,Archer
HATS-12 b,3.0,,7.75732,2016,3.142702,0.0441,0.0861,Transit,HATS-12,289.20239,-19.355907,12756,512.41,-0.1,1.16,1.17,,6357.0,4.36,",",0.0441,0.0441,0.0441,0.044100001,1029.8928,1443.2545,Jovian,F,19.280161,19 16 48.5779,-19 21 21.2652,3.8211878,5.7637514,0.48473434,0,0,Hot,0,0.10794607,Sagittarius,Sgr,Archer
HATS-13 b,3.0,172.58061,13.58652,2015,3.0440499,0.04057,0.0852,Transit,HATS-13,316.96146,-26.096655,13887,476.0,0.05,0.96,0.89,2.5,5523.0,4.52,",",0.041234557,0.03322683,0.04791317,0.040737955,407.93589,1137.8565,Jovian,G,21.130765,21 07 50.7556,-26 05 47.9580,2.1940584,1.2913598,0.41112313,0,0,Hot,0,0.068652447,Capricornus,Cap,Sea Goat
HATS-14 b,3.0,340.39379,11.64719,2015,2.7667641,0.03815,0.0744,Transit,HATS-14,313.21548,-25.687334,13.79,513.0,0.33,0.97,0.93,4.9,5346.0,4.48,",",0.038534628,0.0327327,0.0435673,0.038246803,439.34388,1161.9567,Jovian,G,20.881033,20 52 51.7189,-25 41 14.4024,2.1480726,0.95605872,0.46151033,0,0,Hot,0,0.078135431,Capricornus,Cap,Sea Goat
HATS-15 b,3.0,689.68677,12.38705,2016,1.7474875,0.02712,0.0394,Transit,HATS-15,311.09196,-19.43751,14774,689.0,0.0,0.87,0.92,11.0,5311.0,4.45,",",0.027335279,0.02370288,0.03053712,0.027174103,826.92329,1362.1022,Jovian,G,20.739465,20 44 22.0745,-19 26 15.0360,2.0972419,0.86819966,0.50928791,0,0,Hot,0,0.072989217,Capricornus,Cap,Sea Goat
HATS-16 b,3.0,1039.2976,14573,2016,2.686502,0.03744,0.0484,Transit,HATS-16,358.55871,-30.012999,13834,774.0,-0.1,0.97,1.24,9.5,5738.0,4.24,",",0.03744,0.03744,0.03744,0.037440001,1065375,1455.5279,Jovian,G,23.903915,23 54 14.0949,-30 00 46.7964,3.2995208,1.8748339,0.51535048,0,0,Hot,0,0.063012482,Sculptor,Scl,Sculptor
HATS-17 b,3.0,425.25387,8.71017,2016,16.254611,0.1308,386,Transit,HATS-17,192.1898,-47.613693,12.39,339.0,0.3,1.13,1.09,2.1,5846.0,4.42,",",0.130855,0.1270068,0.1345932,0.13081376,72.701621,743.81069,Jovian,G,12.812654,12 48 45.5542,-47 36 49.2948,3.0105942,2.3749025,0.42165203,0,0,Hot,0,0.1120395,Centaurus,Cen,Centaur
HATS-18 b,3.0,629.14053,14.89809,2016,0.83784,0.0174,27,Transit,HATS-18,173.9574,-29.156012,14067,645.0,,1.04,1.02,,5600.0,,",",0.0174,0.0174,0.0174,0.0174,3027.9075,1889864,Jovian,G,11.59716,11 35 49.7775,-29 09 21.6432,2.5851415,1.5138601,0.46740739,0,0,Hot,0,0.061143467,Hydra,Hya,Water Snake
HATS-2 b,3.0,427.47866,13.09328,2013,1.354133,23,0.0639,Transit,HATS-2,176.73909,-22.562992,13562,360.0,0.15,0.88,0.9,9.7,5227.0,4.48,",",23,23,23,0.023000001,1024.0661,1441.2088,Jovian,K,11.782607,11 46 57.3848,-22 33 46.7712,1.9872642,0.75439739,0.5006271,0,0,Hot,0,0.069296703,Crater,Crt,Cup
